id,customer_message,conversation_context,proposed_intent,human_intent,proposed_escalation,human_escalation,notes
g0031,@SpotifyCares There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,@802997 Okay. Best thing to try next is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Let us know if you're still experiencing issues /AL,device_platform,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Desktop app repeatedly crashes during startup but recovers after reboot; recurring app crash issue
g0033,@SpotifyCares just sign up for the premium after Logging in seem is not can’t play any song like .,"@127867 Hey Jonathan, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",premium_subscription,playback_error,AUTO_HANDLE,AUTO_HANDLE,"After signing up for Premium, songs cannot be played; playback problem is the immediate blocker"
g0034,"@115888 I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.","@233340 Hey Melanie, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",playback_error,playback_error,AUTO_HANDLE,AUTO_HANDLE,Spotify stopped playing songs after skipping; clear playback failure
g0038,"@115888 @SpotifyCares MAJOR Question: There is a lot of talk online about the Snowy app for Apple Watches. Has there been any development on that app? I love Spotify, but this lack of offline music is turning away many of your regular users. Any updates?","@417449 We hear you, Caleb! We don't have any info on this right now, but check out the official idea here: https://t.co/SEK4E4gi22. Add your vote to let our devs know it's something you'd like to see /CO",offline_download,device_platform,AUTO_HANDLE,AUTO_HANDLE,Asking about Apple Watch app/offline support; platform-specific feature availability question
g0039,@SpotifyCares i recently got charged 3 times when i only agreed for 1 payment,"@794891 Hey, help's here! We've just sent you a DM. Check your inbox /RH",billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Customer reports being charged three times for one payment; clear duplicate-charge financial dispute
g0042,Hello @SpotifyCares! My account has been hacked. Got an email telling me my email has changed and I can't log in anymore. I already messaged you earlier. Please look into it and reply asap! I want my spotify!!! Tnx,@260716 Hey there! We've just replied to your DM. Check it out /DB,account_login,account_login,ESCALATE,ESCALATE,"Account explicitly hacked; email and login credentials were changed, so this is an account-security compromise"
g0043,@SpotifyCares I was charged for a subscription I wasn’t eligible for. It was the student membership.,@278001 Hi there! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Customer was charged for a student subscription they were not eligible for; disputed/incorrect charge requires billing investigation
g0044,"@SpotifyCares Hi there! I’ve been on the family plan but I have been charged an extra 10$ a month just for me. I cancelled my last plan, but it’s still charging. How can I fix this?",@796980 Hey there! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Customer is being repeatedly charged an extra  despite cancelling the previous plan; clear ongoing billing issue
g0046,@SpotifyCares Also the same thing that i get when i try to upload music,@175357 Hmm. Could you DM us your contact email address? We’ll chase this up! /LS https://t.co/ldFdZRiNAt,playback_error,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Context is about uploading music and the customer reports the same issue; closest taxonomy fit is playlist/library or local music functionality
g0049,@SpotifyCares is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,"@253236 Hey Chris! The cavalry's here. Can you let us know the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB",app_crash_bug,playback_error,AUTO_HANDLE,AUTO_HANDLE,Music appears to play but produces no sound after returning from a video; clear playback/audio failure
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",@139567 Hi Lance. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,account_login,account_login,ESCALATE,ESCALATE,Customer suspects account hack and password was changed; security/account compromise requires escalation
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.","@254908 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /JS",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Feedback about playlist follower visibility; playlist feature/product feedback
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf",@253243 Hey there! The cavalry's here. Does restarting your PC make any difference? Can you let us know the Windows and Spotify version you're using? We'll see what we can suggest /KB,offline_download,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,"Issue persists after uninstall/reinstall and troubleshooting on Windows; software/app issue, but no security or financial risk"
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,"@251263 Hi Brian! Can you DM us your account's email address or username? Also, let us know your devices' make/model, operating system, and Spotify version? We'll take a look /GT https://t.co/ldFdZRiNAt",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Spotify cannot connect to Sonos despite reauthorization/reinstall; device/platform integration issue
g0065,@SpotifyCares Hi. Signed up for family account. My girlfriend has signed up too. But only has option for 7 days free premium. Have we registered wrong?,"@805586 Hey Stuart, help's arrived! Can you send us a DM with yours and your girlfriend's username and email address. We'll check things out backstage 🔍 /DI https://t.co/ldFdZRiNAt",premium_subscription,premium_subscription,AUTO_HANDLE,ESCALATE,Family-plan member is incorrectly seeing only a 7-day Premium trial; account-specific subscription eligibility/setup needs investigation
g0067,"@SpotifyCares Logged into my account after a couple years, my password, email, area code, country, have all been changed and are linked to my facebook account. I looked at the support page but all lead back to email or password which I have access to neither now. Help please, ty.","@253234 Hi there, we’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /AK",account_login,account_login,AUTO_HANDLE,ESCALATE,"Password, email, country and other account details were changed and user cannot access the account; clear account compromise"
g0068,"Bye @115888 , you can’t even process my payment 😫 @115948 sorry it took me long to come to my senses",@794894 Hey Denisse! Are you getting any specific error messages? Can you DM us your account's email address? We'll check things out /KC,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,Payment cannot be processed and requires account/payment investigation; customer is unable to complete payment
g0069,"@SpotifyCares Like I say, my speaker is visible, but when I click on it, the app just goes back to the song screen and doesn't switch to the speaker... https://t.co/7k5oCPmc45","[Prior Context]: @SpotifyCares Android version 7.0 on Galaxy S8, app version... https://t.co/70HTRPfj9p | [Agent Reply]: @135361 Just to confirm, were you able to do a clean reinstall as suggested? /NG",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Speaker is visible but Spotify cannot switch playback to it; device/platform connection issue
g0071,@SpotifyCares Will Spotify ever get two factor authentication. I had my account hacked today and I'd rather have something stronger than just changing the password.,"@259185 Hi, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",account_login,account_login,ESCALATE,ESCALATE,Customer reports account was hacked and asks about stronger account security; active security concern requires escalation
g0072,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR","@251614 1. Hey there! Can you try right clicking your task bar &gt; Start Task Manager &gt; Processes, and then end any processes by Spotify. Afterwards, delete the Spotify folders found in C:\Users\USERNAME\AppData\Roaming and C:\Users\USERNAME\AppData\Local",device_platform,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Desktop Spotify repeatedly fails at startup and requires reinstall each time; recurring application bug
g0073,@SpotifyCares @118266 I'm using older version of spotify 8.4.226.770 on Android 4.4.2 and latest version of spotify 8.4.28.875 on Android 7.1.2 please help!,[Prior Context]: This is spotify on my other device older version but it allow me to choose where i want to store my music data https://t.co/XtEL7CXRCt | [Agent Reply]: @364815 Hi Jim! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Customer provides Android versions and Spotify versions for device troubleshooting; platform/version compatibility context
g0076,"@115888 @SpotifyCares @112775 - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",@812738 Hey there! We’ll have it available to you as soon as it’s available to us. https://t.co/1dgftcFtzc /PL,playlist_library,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,Customer asks whether specific music will be added to Spotify; catalog/content availability question
g0077,"Any Spotify artists know how to find out what @115888 playlists their music's being featured on? 🙏🏾 25% of my plays are comin from Spotify playlist but I can tell which ones! 😨
#StayWavy 🌊🏄🏽","@806963 Hey Cee, that's not cool! You can contact our Artist team here: https://t.co/p1wbtdELHu. If you've reached out, DM us your email address &amp; we'll chase it up /JK",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Artist asks which Spotify playlists feature their music; playlist-related informational question
g0078,"Got a new phone and Spotify won’t let me log in using my email or with Facebook! Please help, @SpotifyCares @115888 @117168",@306505 Hi Jacqueline! Can you DM us your account's email address? We'll check backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt,account_login,account_login,AUTO_HANDLE,AUTO_HANDLE,Cannot log in after getting a new phone; standard login troubleshooting with no security indication
g0079,@115888 Not true. I downloaded Spotify and theres no free songs to download. Just to let u know,"[Prior Context]: Instant access to millions of songs. | [Agent Reply]: @792505 Hey there! Allow us to clear things up. With Spotify Free, you'll be able to access and stream all the songs in our catalog, but you'll be unable to download them for offline listening. There's more info about our subscription options here: https://t.co/yhxGR83lPs /DB",offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,Customer expects free Spotify to support downloading songs; informational question about offline downloads and subscription limits
g0080,"@SpotifyCares tried to buy a premium gift card but after I entered the e-delivery details and hit continue, the page just refreshed w/o taking me to a payment page. Help?","@251264 Hey Natalie, help's here! Can you try using a different browser or an incognito window? Clearing your browser's cache and cookies might also help. Let us know how it goes /GS",billing_charge,billing_charge,AUTO_HANDLE,AUTO_HANDLE,Gift card purchase failed to load checkout page; browser troubleshooting
g0082,"@115888 Anytime I log into my account on a tablet it says I have a free account, but on my phone/computer it's premium. How do I fix this?!",@255584 Hey! Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,premium_subscription,premium_subscription,AUTO_HANDLE,ESCALATE,Tablet shows Free status while other devices show Premium; subscription synchronization requires account investigation
g0083,"@115888 your app just offered me a year of premium for $99. Clicking the link brings me this page that repeats the offer, but gives no way to buy. Help? https://t.co/Xh0kg167jJ",@259548 Hey there! Help's here. Can you try this link instead: https://t.co/qd7DcBQ2ie? Let us know how it goes /PB,premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Annual Premium promotional offer link not working; guidance with alternate link
g0088,"@SpotifyCares I can't seem to delete a playlist, and it's not available either? But it won't go from my playlists bar...","@823707 Hey! Can you let us know the device, operating system, and Spotify version you're running? We'll see what we can suggest /KM",content_unavailable,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Unable to delete playlist from client; library management troubleshooting
g0089,@115888 any progress on getting @19106 velvet album back? I sure am missing listening to that album. There are also one or two songs from various other artists that are unavailable as well. What’s the deal?,@212631 Hey Marianne! We're afraid we don't have any info on this right now. Licensing agreements can affect music availability. Fingers crossed we'll be able to have it available to you again soon /NS,content_unavailable,content_unavailable,AUTO_HANDLE,AUTO_HANDLE,Inquiring about missing artist album and licensing availability; catalog availability limitation
g0092,"@SpotifyCares Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both","@798430 Thanks. Can you log out, restart the device, then log back in before checking again? By the way, do you notice if this happens on a specific track? /JU",device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Device models and OS provided for playback troubleshooting; device/platform context
g0104,@116130 why am i being charged twice. One payment of 9.99 and one of 4.99 (as im a student),"@235101 Hey Toby, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",billing_charge,billing_charge,ESCALATE,ESCALATE,Charged twice (.99 and student .99); double billing dispute requires account investigation
g0105,"@SpotifyCares here we are 3 weeks later! what's the word? when do we get Alexa/Echo multiroom? Or if not, why not? Legal issues? @118117 getting upset with you? You just asked me to reup for a year for $100 and @115821 is making it real easy to quit you and move on - tell me why I shouldn't?","@259950 We're afraid we don't have any further info to share at the moment, but you can show your support for the idea here: https://t.co/PimjmzJIXs /DB",device_platform,device_platform,ESCALATE,AUTO_HANDLE,Feature request for Alexa/Echo multi-room audio support; platform capability guidance
g0106,"@121907 What about the ""Radio"" function on Thailand Premium?? Do we know when Thailand will introduce it? I have been waiting for months!!!????? https://t.co/Bo3wrqkzeD","[Prior Context]: สิงโต นำโชคมีข้อความมาฝาก พร้อมกับแนะนำเพลงใหม่ของเขา เพลง ""ต๊อก"" อย่าลืมไปฟังเพลงนี้กันเยอะๆนะ
https://t.co/7r0pP1X8Ua https://t.co/BU35PuwLwg | [Agent Reply]: @785569 Hey there! We've just sent a DM your way. Feel free to check it out /AK",premium_subscription,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Inquiry regarding Radio feature availability on Thailand Premium; regional feature availability guidance
g0108,@SpotifyCares I’m a premium acct and I got a message saying I need to update CC info but no where to do it in app or contact help. Please help.,"@817381 Hey Brooke, help's here! You can update your payment method any time by choosing subscriptions on your account page. Check this out for more info: https://t.co/BShdiBtHc4. Let us know how it goes /JJ",premium_subscription,billing_charge,AUTO_HANDLE,AUTO_HANDLE,Notification to update credit card details; guidance on updating payment method in account page
g0113,@SpotifyCares Not on my desktop right now. But it's Windows 10. And app tries to start and then shuts down after seconds.,"@139560 Thanks for letting us know. Best thing to try here is a reinstall. When you get the chance, just follow the steps here: https://t.co/5rTl0ob08l. Let us know how it goes /JY",device_platform,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Desktop app crashes seconds after startup on Windows 10; application crash troubleshooting
g0114,"@SpotifyCares Most of the ads are too loud, significantly louder than music is. It's on all platforms and devices. Need to implement some kind of avg loudness req",@632935 Thanks for taking the time to reach out – we've passed this on to our Ads team. Let us know if there's anything else we can help you with /NQ,playback_error,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Feedback about excessive ad volume compared to music; ad-supported Free tier feedback
g0115,hello my spotify problem still hasnt fixed and i realized it was bc of my country in apple id since its on korea 😩 so i had to cancel my applemusic subscription as well BUT FUCKING BITCH IT WASNT CANCELLED I STILL HAVE TO WAIT FOR FEW WEEKS TO CANCEL MY MEMBERSHIP IM MAD,"@255309 Hey there, we've come to the rescue! Could you DM us your account's username or email address? We'll check backstage /RE https://t.co/ldFdZRiNAt",content_unavailable,premium_subscription,AUTO_HANDLE,ESCALATE,Country mismatch between Apple ID and Spotify account preventing access; complex cross-service region dispute requires account investigation
g0116,"@SpotifyCares i’m using windows 7 on desktop, and everytime i try to open the program is gives me this, which only started happening 2 days ago. i do reinstall it like it says but i have to reinstall everytime i want to turn on my computer https://t.co/A4DSWkXDOR","@251614 Once done, just download a new installer at https://t.co/cgbgyQ4C7a and reinstall the app. Let us know how it plays out /DF",device_platform,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Persistent Windows 7 client crash requiring repeated reinstalls; application bug troubleshooting
g0117,"I love how @115888 keeps giving me reasons NOT to give money to them. WHY IN THE WORLD IS SPOTIFY RUNNING ON MY PHONE WHEN I'M PLAYING IT ON MY DESKTOP? And there seems to be no way to disable this. 

Back to youtube and deezer I go then","@226664 Hey, sorry to hear you feel that way. Not to worry, we can help on this. Can you fire over your account's email address or username via DM? We'll check things out /AY https://t.co/ldFdZRiNAt",billing_charge,device_platform,AUTO_HANDLE,AUTO_HANDLE,Confusion over Spotify running concurrently on mobile and desktop; device playback behavior guidance
g0121,"@SpotifyCares I can't log into Spotify via my Facebook account - ""You don't have an account set up with these Facebook credentials.   Sign up for one now.""  I try to sign up for one, but my email is already used.  I need to have my email and/or Facebook account removed.","@817377 Hey there, help's here! Can you DM us your account's email address? We'll take a look backstage 🔍 /TX https://t.co/ldFdZRiNAt",content_unavailable,account_login,AUTO_HANDLE,AUTO_HANDLE,Facebook credential login conflict with existing email; account login/linking troubleshooting
g0122,"@SpotifyCares yo could you all improve your shuffle feature, like add an accumulator so that each time a song doesn't play it increases its chance of playing next? I have 1300+ songs in my library but feel like I have a similar cluster of songs come up everytime listen :(",@794169 Hey! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /DF,playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Feedback and suggestions for improving shuffle algorithm randomness; playlist/library feature feedback
g0127,My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,@131452 Nice. Glad to hear it's all good. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /GK,offline_download,offline_download,AUTO_HANDLE,AUTO_HANDLE,Confirmation of resolved download and streaming capability; offline download confirmation
g0128,Hey @115888 you wanna tell me why I'm still getting those stupid suggested tracks on my app when I have the setting for it turned off? I wanna listen to my music and no one else's.,"@253493 Hi there! This is part of our Free service on mobile. More info here: https://t.co/UabipIXUxe. To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Let us know if there's anything else /AP",playlist_library,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Complaint about suggested tracks playing on mobile Free tier; Free tier feature limitations
g0129,@SpotifyCares Yes they are up to date. I just have an issue when I'm listening to a playlist sometimes it will pause the song. And the only way to fix it is to start the song again,"@230511 Gotcha. Can you try logging out, restarting the device, then logging back in? Does that help at all? /JE",playlist_library,playback_error,AUTO_HANDLE,AUTO_HANDLE,Music pauses unexpectedly during playlist playback; playback pausing issue
g0131,"@SpotifyCares Just signed up for premium during the 99 cent/three month trial. However my username is not right. I know I need to close the account and basically start over, but can I do this while keeping the trial going? Thanks!",@138952 Hi Paul! Could you DM us your account's email address so we can check backstage? /FJ https://t.co/ldFdZRiNAt,account_login,,AUTO_HANDLE,,
g0132,Yo @115888 @117168 someone need trying to use my account while I’m using it right now.. we’re literally battling between Christmas and Mexican music right now. How do I cut them off??,"@784816 Hey there! Head to https://t.co/cnaaFIwigZ and click Sign Out Everywhere. We'd also recommend changing your password to something super secure, just to be safe /NQ",playback_error,,AUTO_HANDLE,,
g0133,@spotifycares are you offering ‘Fade Away’ from Selah Sue at any point?  I like the song and it’s not there.,"@442191 Hi Debora! Just to check, are you referring to this track: https://t.co/5V7twar8it? /AU",playback_error,,ESCALATE,,
g0136,"@SpotifyCares 
Reset password
The CSRF token is invalid. Please try to resubmit the form.
Please fix this!!!!!!!!!!!!!!!!!!!",@137951 Hey Kelli! We've replied to your DM. Check your inbox /LM,account_login,,AUTO_HANDLE,,
g0137,"@SpotifyCares Hi-I have been adding missing songs to my playlists from my Local Files and this has worked great until today. Today, when I drop and drop my local files to my playlist it replaces them with wrong approximate matches. How do I stop this?",@238736 Hey Andy! Can you try to edit the track name before uploading the file? Let us know how it goes /SJ,playlist_library,,AUTO_HANDLE,,
g0138,"@SpotifyCares hey so a while back i tweeted about Spotify premium not transferring over local files to my iPhone SO I changed the WiFi I was using on both devices, uninstalled on both, logged out on both etc. But still not working???","@422461 Hey, thanks for the update. Could you fire over your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt",premium_subscription,,AUTO_HANDLE,,
g0139,"@SpotifyCares Not that I noticed— just music then suddenly two back-to-back ads, which I’ve been getting on PC, too. I wouldn’t mind, if it wasn’t for the 30-minutes thing on mobile. But a general explanation as to why im getting double ads in general works too.","@802640 Thanks for confirming! Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /JM",playback_error,,AUTO_HANDLE,,
g0141,@115888 how about an incognito feature for songs and albums?Sometimes u just wanna listen to Christmas or classical music all day but don’t want 20 similar recommendations,"@242337 Hey! This sounds like a great idea. Suggest it in our Community at https://t.co/CTw7YUvlcF and get support from other users. If you need anything else, just shout and we'll come running 🏃 /PK",playback_error,,AUTO_HANDLE,,
g0142,@118266 @118266 berarti premium punya saya sampai tanggal 26 Februari kan yaa?,"[Prior Context]: Hi @118266 , ini kan ada promo 3 bulan premium 49.990. Trs saya bayar krn tertarik, apakah acc saya terdaftar selama 3 bulan premium / hanya 1 bulan saja? https://t.co/J5FubUhMQ7 | [Agent Reply]: @710889 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /QI",premium_subscription,,AUTO_HANDLE,,
g0143,@SpotifyCares i try to upgrade my account to premium version using phone credits as my paymemt method. My phone credit was cutted but my account wasn't got upgrade. Pls help. Thanks!,@821797 Hey Stephanie! Help's here. Can you DM us your account's username and email address? We'll check backstage /JL https://t.co/ldFdZRiNAt,premium_subscription,,AUTO_HANDLE,,
g0146,"Hey @SpotifyCares I'm having trouble loggin in with my facebook. It say that I don't have an account. 

Then when I try to sign up with FB I get that an account already exists. 

I can't submit a support ticket with you guys on your support form b/c I can't sign in. Help Please!","@232845 Hey there, we're here to help! Could you DM us your account's email address? We'll check backstage for you /BX https://t.co/ldFdZRiNAt",account_login,,AUTO_HANDLE,,
g0147,"@SpotifyCares recently gifs on @TwitterSupport have been pausing music while I watch them despite lack of sound. iOS 11.1.2, iPhone 7 Plus, Spotify 8.4.28.1104, Twitter 7.12. I don’t remember this happening before maybe last week","@796697 Hey Matt! Did the issue happen after a specific update? Does logging out, fully closing the app, and restarting your device help? /KC",device_platform,,AUTO_HANDLE,,
g0150,"@SpotifyCares when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",@225902 That doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /DD,playback_error,,AUTO_HANDLE,,
g0152,"@SpotifyCares I got an email for a $99/year offer, but when I tried to sign up it tells me I'm not eligible, but that I can upgrade my account to premium (which it already is) at any time and redirects me to a family plan sign up page.","@236882 Hey Nicki, help's here! Can you DM us your account's username and email address? We'll check it out backstage 🔍 /LX https://t.co/ldFdZRiNAt",premium_subscription,,AUTO_HANDLE,,
g0156,"@SpotifyCares win 7 ultimate 64 bits. spotify 1.0.68.407.g6864aaaf. and not, logging or rebooting doesn't work, because every time it updates, it reinstates the boot with windows option. i've even killed the windows startup process, but it's there every time it updates again and again","@786592 Got it. Spotify will revert to opening automatically after each update, but we appreciate the feedback. We'll pass it on /AQ",device_platform,,AUTO_HANDLE,,
g0157,@SpotifyCares they’re still there but all my downloads were deleted and the albums saved have half the songs missing now,@791311 That's strange. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,playlist_library,,AUTO_HANDLE,,
g0159,@148611 @SpotifyCares I just cancelled my premium subscription cos you guys are giving me the hardest time paying my subscription via mobile payment. Pls do something about this!!! I loaded 300 in total using 2 phones! 150 for each phone 😭 https://t.co/iohEDY3SlL,"@717830 @115888 Hi there! Don't worry, we'll sort this out. Can you send us a DM with your account's email address? We'll check behind the scenes /NJ https://t.co/ldFdZRiNAt",billing_charge,,AUTO_HANDLE,,
g0160,"@115888 Hello, I'm from Chile and I have been paying a family plan for 5 months. However, I am not able to use it, because I can not add more users to the family plan.
What can I do to solve this? I really want the service that you are offering.",@515029 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,premium_subscription,,AUTO_HANDLE,,
g0164,@115888 for iPhone X needs an update. Car Bluetooth isn’t always sending song data and controls don’t work.,"@794906 Hey, help's here! Can you let us know your car's make/model, phone operating system, and Spotify version? We'll see what we can suggest /JZ",device_platform,,AUTO_HANDLE,,
g0169,@SpotifyCares hi can you explain why my username is always random numbers and letters when i sign up,"@144793 We'd love to take a look at your account, so we can check your username. Can you DM us your account's email address first? /RB",account_login,,AUTO_HANDLE,,
g0170,@SpotifyCares I’m unable to reset my password. I sent you guys a DM,@609618 Hi! We've just dropped you a DM. Check it out /JE,account_login,,AUTO_HANDLE,,
g0171,"Me: @SpotifyCares I need help resetting my password. Spotify help: Sorry to hear this, I'm here to help (disconnect). All day long :(","@263157 Hey, the cavalry's here! What's happening exactly? Are you getting any specific error messages when you try resetting your password? We'll see what we can suggest /NJ https://t.co/ldFdZRiNAt",account_login,,AUTO_HANDLE,,
g0177,"Another day, another device @115888 randomly connects to and plays randomly chosen music through. 🙄 How do I stop this from happening without constantly having to unconnect bluetooth? @SpotifyCares","@805853 Hey, that's not cool! Before anything else, can you DM us your account's email address or username? Knowing what device/version of Spotify you're using would also be helpful. Once we have this info, we'll check it out 🔍 /LJ https://t.co/ldFdZRiNAt",playback_error,,AUTO_HANDLE,,
g0178,@SpotifyCares having issues with premium not working for my account on mobile device,@219168 Hi Mikayla! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,premium_subscription,,AUTO_HANDLE,,
g0179,does anyone here ever made payment via molpay for Spotify premium..how ??,@813774 Hi there! Could you DM us your account's email address so we can check backstage? /FJ https://t.co/ldFdZRiNAt,billing_charge,,AUTO_HANDLE,,
g0184,"@SpotifyCares @228595 Gutted, just missed my Vodafone free 2 Years premium by 1 day ahhhh","@228593 Hey Sam, sorry to hear you feel that way. Can you DM us your account's email address or username? We'll check things out /AY https://t.co/ldFdZRiNAt",premium_subscription,,AUTO_HANDLE,,
g0185,Hey @SpotifyCares can y’all activate my premium. Or can I have my money back?,"@223445 Hey there, help's here! Can you DM us your account's email address/username? We'll check backstage /MO https://t.co/ldFdZRiNAt",billing_charge,,AUTO_HANDLE,,
g0187,@SpotifyCares hi my premium account was stolen and had the email changed without my permission and I would really appreciate some help with this,"@251952 Hey, we’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /NQ",premium_subscription,,ESCALATE,,
g0194,"@SpotifyCares hey y'all! I saw that reputation by Taylor Swift is in your library, but I can't play any of the songs besides the ones that were in your system prior to today. Can you tell me when the blacked-out songs will be available to stream?","@139553 Hey there! Taylor Swift's 'Reputation' isn't available to stream just yet. For now, be sure to check out the singles: https://t.co/3h0TnPWP0c 🙂 /JI",playlist_library,,AUTO_HANDLE,,
g0196,"@SpotifyCares A restart seems to have fixed the black screen issue. However it still switches to offline mode between sessions (on both wifi and data,).","@224968 Thanks for letting us know. It's not ideal, but can you try reinstalling the app? Just follow the steps at https://t.co/PDA2aKzC6Q. Let us know if that helps /CE",app_crash_bug,,AUTO_HANDLE,,
g0198,@spotifycares please contact me because someone is using my credit card number through fraud and I have no spotify account but there are monthly charges on my statement. I don't want to create a spotify acct and confuse this issue. Card is cancelled but I need charges to stop too,"@797224 Hey Julie! Don't worry, we'll sort things out. Can you DM us any email addresses you have? /KC https://t.co/ldFdZRiNAt",billing_charge,,ESCALATE,,
g0001,"@116380 can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",@663311 Hi there. We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /GT,playback_error,,AUTO_HANDLE,,
g0002,"@SpotifyCares I just wanna how may i do to add a buttom or link to my playlist. So, I attach a screenshot to let you see what i'm talking about, thank you. https://t.co/tRCrEXh0oS","@299176 Hey Carlos! The cavalry's here. Just to check, are you looking into embedding your Spotify playlist on your website or blog? /KB",playlist_library,,AUTO_HANDLE,,
g0008,@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,"@138951 Got it. Can you try to log out of your account &gt; restart your device &gt; and log back in to see if it helps? If you can reply with the exact make and model of your device, that'd be great /HR",device_platform,,AUTO_HANDLE,,
g0013,"@SpotifyCares No streaming with Sonos possible, are you aware?","@139565 Hi there, help's here! We're looking into this with Sonos at the moment. We'll have it back up and running as soon as we can. Let us know if you need anything else /AV",device_platform,,AUTO_HANDLE,,
